Question number,Answer,Stage,Count
9,I don’t know how to use it,Searching,5
9,I don’t know how to use it,Screening,0
9,Translation loses some of the original meaning,Searching,19
9,Translation loses some of the original meaning,Screening,26
9,Too expensive/limited budget,Searching,0
9,Too expensive/limited budget,Screening,0
9,Unreliable translations,Searching,0
9,Unreliable translations,Screening,0
9,Machine translation is not high quality enough,Searching,14
9,Machine translation is not high quality enough,Screening,14
9,Takes too long,Searching,11
9,Takes too long,Screening,16
9,Difficult to find translators with language skills,Searching,0
9,Difficult to find translators with language skills,Screening,0
11,Too expensive/limited budget,Searching,29
11,Too expensive/limited budget,Screening,30
11,Takes too long,Searching,11
11,Takes too long,Screening,14
11,Difficult to find translators with language skills,Searching,16
11,Difficult to find translators with language skills,Screening,18
13,Unreliable translations,Searching,1
13,Unreliable translations,Screening,2
13,Takes too long,Searching,8
13,Takes too long,Screening,11
13,Difficult to find translators with language skills,Searching,17
13,Difficult to find translators with language skills,Screening,17