year,sptl_two,no_authors,initial,no_auth_country,percent_english_auth_countries
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.01
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.02
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.03
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.04
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.05
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.06
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.07
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.08
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.09
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.1
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.11
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.12
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.13
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.14
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.15
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.16
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.17
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.18
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.19
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.2
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.21
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.22
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.23
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.24
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.25
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.26
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.27
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.28
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.29
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.3
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.31
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.32
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.33
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.34
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.35
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.36
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.37
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.38
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.39
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.4
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.41
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.42
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.43
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.44
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.45
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.46
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.47
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.48
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.49
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.5
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.51
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.52
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.53
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.54
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.55
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.56
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.57
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.58
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.59
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.6
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.61
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.62
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.63
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.64
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.65
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.66
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.67
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.68
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.69
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.7
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.71
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.72
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.73
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.74
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.75
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.76
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.77
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.78
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.79
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.8
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.81
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.82
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.83
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.84
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.85
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.86
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.87
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.88
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.89
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.9
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.91
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.92
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.93
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.94
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.95
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.96
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.97
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.98
2017,Multi-National and Greater,8.25,13818.58,2.527778,0.99
2017,Multi-National and Greater,8.25,13818.58,2.527778,1