year,sptl_two,no_authors,survey_lang,percent_english_auth_countries
2018,Multi-National and Greater,10.06452,3.709677419,0.01
2018,Multi-National and Greater,10.06452,3.709677419,0.02
2018,Multi-National and Greater,10.06452,3.709677419,0.03
2018,Multi-National and Greater,10.06452,3.709677419,0.04
2018,Multi-National and Greater,10.06452,3.709677419,0.05
2018,Multi-National and Greater,10.06452,3.709677419,0.06
2018,Multi-National and Greater,10.06452,3.709677419,0.07
2018,Multi-National and Greater,10.06452,3.709677419,0.08
2018,Multi-National and Greater,10.06452,3.709677419,0.09
2018,Multi-National and Greater,10.06452,3.709677419,0.1
2018,Multi-National and Greater,10.06452,3.709677419,0.11
2018,Multi-National and Greater,10.06452,3.709677419,0.12
2018,Multi-National and Greater,10.06452,3.709677419,0.13
2018,Multi-National and Greater,10.06452,3.709677419,0.14
2018,Multi-National and Greater,10.06452,3.709677419,0.15
2018,Multi-National and Greater,10.06452,3.709677419,0.16
2018,Multi-National and Greater,10.06452,3.709677419,0.17
2018,Multi-National and Greater,10.06452,3.709677419,0.18
2018,Multi-National and Greater,10.06452,3.709677419,0.19
2018,Multi-National and Greater,10.06452,3.709677419,0.2
2018,Multi-National and Greater,10.06452,3.709677419,0.21
2018,Multi-National and Greater,10.06452,3.709677419,0.22
2018,Multi-National and Greater,10.06452,3.709677419,0.23
2018,Multi-National and Greater,10.06452,3.709677419,0.24
2018,Multi-National and Greater,10.06452,3.709677419,0.25
2018,Multi-National and Greater,10.06452,3.709677419,0.26
2018,Multi-National and Greater,10.06452,3.709677419,0.27
2018,Multi-National and Greater,10.06452,3.709677419,0.28
2018,Multi-National and Greater,10.06452,3.709677419,0.29
2018,Multi-National and Greater,10.06452,3.709677419,0.3
2018,Multi-National and Greater,10.06452,3.709677419,0.31
2018,Multi-National and Greater,10.06452,3.709677419,0.32
2018,Multi-National and Greater,10.06452,3.709677419,0.33
2018,Multi-National and Greater,10.06452,3.709677419,0.34
2018,Multi-National and Greater,10.06452,3.709677419,0.35
2018,Multi-National and Greater,10.06452,3.709677419,0.36
2018,Multi-National and Greater,10.06452,3.709677419,0.37
2018,Multi-National and Greater,10.06452,3.709677419,0.38
2018,Multi-National and Greater,10.06452,3.709677419,0.39
2018,Multi-National and Greater,10.06452,3.709677419,0.4
2018,Multi-National and Greater,10.06452,3.709677419,0.41
2018,Multi-National and Greater,10.06452,3.709677419,0.42
2018,Multi-National and Greater,10.06452,3.709677419,0.43
2018,Multi-National and Greater,10.06452,3.709677419,0.44
2018,Multi-National and Greater,10.06452,3.709677419,0.45
2018,Multi-National and Greater,10.06452,3.709677419,0.46
2018,Multi-National and Greater,10.06452,3.709677419,0.47
2018,Multi-National and Greater,10.06452,3.709677419,0.48
2018,Multi-National and Greater,10.06452,3.709677419,0.49
2018,Multi-National and Greater,10.06452,3.709677419,0.5
2018,Multi-National and Greater,10.06452,3.709677419,0.51
2018,Multi-National and Greater,10.06452,3.709677419,0.52
2018,Multi-National and Greater,10.06452,3.709677419,0.53
2018,Multi-National and Greater,10.06452,3.709677419,0.54
2018,Multi-National and Greater,10.06452,3.709677419,0.55
2018,Multi-National and Greater,10.06452,3.709677419,0.56
2018,Multi-National and Greater,10.06452,3.709677419,0.57
2018,Multi-National and Greater,10.06452,3.709677419,0.58
2018,Multi-National and Greater,10.06452,3.709677419,0.59
2018,Multi-National and Greater,10.06452,3.709677419,0.6
2018,Multi-National and Greater,10.06452,3.709677419,0.61
2018,Multi-National and Greater,10.06452,3.709677419,0.62
2018,Multi-National and Greater,10.06452,3.709677419,0.63
2018,Multi-National and Greater,10.06452,3.709677419,0.64
2018,Multi-National and Greater,10.06452,3.709677419,0.65
2018,Multi-National and Greater,10.06452,3.709677419,0.66
2018,Multi-National and Greater,10.06452,3.709677419,0.67
2018,Multi-National and Greater,10.06452,3.709677419,0.68
2018,Multi-National and Greater,10.06452,3.709677419,0.69
2018,Multi-National and Greater,10.06452,3.709677419,0.7
2018,Multi-National and Greater,10.06452,3.709677419,0.71
2018,Multi-National and Greater,10.06452,3.709677419,0.72
2018,Multi-National and Greater,10.06452,3.709677419,0.73
2018,Multi-National and Greater,10.06452,3.709677419,0.74
2018,Multi-National and Greater,10.06452,3.709677419,0.75
2018,Multi-National and Greater,10.06452,3.709677419,0.76
2018,Multi-National and Greater,10.06452,3.709677419,0.77
2018,Multi-National and Greater,10.06452,3.709677419,0.78
2018,Multi-National and Greater,10.06452,3.709677419,0.79
2018,Multi-National and Greater,10.06452,3.709677419,0.8
2018,Multi-National and Greater,10.06452,3.709677419,0.81
2018,Multi-National and Greater,10.06452,3.709677419,0.82
2018,Multi-National and Greater,10.06452,3.709677419,0.83
2018,Multi-National and Greater,10.06452,3.709677419,0.84
2018,Multi-National and Greater,10.06452,3.709677419,0.85
2018,Multi-National and Greater,10.06452,3.709677419,0.86
2018,Multi-National and Greater,10.06452,3.709677419,0.87
2018,Multi-National and Greater,10.06452,3.709677419,0.88
2018,Multi-National and Greater,10.06452,3.709677419,0.89
2018,Multi-National and Greater,10.06452,3.709677419,0.9
2018,Multi-National and Greater,10.06452,3.709677419,0.91
2018,Multi-National and Greater,10.06452,3.709677419,0.92
2018,Multi-National and Greater,10.06452,3.709677419,0.93
2018,Multi-National and Greater,10.06452,3.709677419,0.94
2018,Multi-National and Greater,10.06452,3.709677419,0.95
2018,Multi-National and Greater,10.06452,3.709677419,0.96
2018,Multi-National and Greater,10.06452,3.709677419,0.97
2018,Multi-National and Greater,10.06452,3.709677419,0.98
2018,Multi-National and Greater,10.06452,3.709677419,0.99
2018,Multi-National and Greater,10.06452,3.709677419,1
