Paper,survey_lang,year,tot_database,spatial_scope,sptl_two,sptl_three,lang_searched,inclusive,new_cat,initial,no_nel,no_lang,no_authors,no_auth_country,percent_english_auth_countries
Evidence on the impact of Baltic Sea ecosystems on human health and well-being: a systematic map,5,2021,17,Multi-national,1,2,1,0,1,4460,0,1,10,3,0
Location of studies and evidence of effects of herbivory on Arctic vegetation: a systematic map,9,2021,129,Multi-national,1,2,8,1,3,2902,14,5,44,13,0.295454545
Scientific evidence of sustainable plant disease protection strategies for oats in Sweden: a systematic map,6,2021,30,National,2,3,4,1,3,1827,3,3,5,1,0
Evidence on the impacts of chemicals arising from human activity on tropical reef-building corals; a systematic map,2,2021,16,Multi-national,1,2,1,1,2,15177,20,2,15,3,0
"What evidence exists on the effectiveness of the techniques and management approaches used to improve the productivity of field-grown tomatoes under conditions of water-, nitrogen- and/or phosphorus-deficit? A systematic map",3,2021,24,Global,1,1,1,0,1,14377,0,1,11,3,0.727272727
"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review",3,2021,39,Global,1,1,1,1,2,4270,11,6,7,2,0.714285714
What are the effects of even-aged and uneven-aged forest management on boreal forest biodiversity in Fennoscandia and European Russia? A systematic review,6,2021,86,Multi-national,1,2,4,1,3,43621,29,4,7,1,0
Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,4,2020,6,Global,1,1,4,1,3,3809,0,1,5,1,0
How are nature-based solutions contributing to priority societal challenges surrounding human well-being in the United Kingdom: a systematic map,2,2020,22,National,2,3,2,1,3,7287,0,1,5,1,1
Can linear transportation infrastructure verges constitute a habitat and/or a corridor for vertebrates in temperate ecosystems? A systematic review,2,2020,16,Global,1,1,1,1,2,62940,4,2,18,1,0
What are the effects of flow-regime changes on fish productivity in temperate regions? A systematic map,1,2020,36,Global,1,1,1,0,1,18231,0,1,12,2,1
What do we know about the impacts of the Marine Stewardship Council seafood ecolabelling program? A systematic map,4,2020,9,National,2,3,1,0,1,473,0,1,5,3,0.8
How effective are strategies to control the dissemination of antibiotic resistance in the environment? A systematic review,2,2020,32,Global,1,1,2,1,3,16087,3,2,17,1,0
What are the relative risks of mortality and injury for fish during downstream passage at hydroelectric dams in temperate regions? A systematic review,1,2020,36,Global,1,1,1,0,1,2418,0,1,11,2,1
"Bridging Indigenous and science-based knowledge in coastal and marine research, monitoring, and management in Canada",1,2019,10,National,2,3,1,0,1,9523,0,1,8,2,1
What is the available evidence for the range of applications of genome-editing as a new tool for plant trait modification and the potential occurrence of associated off-target effects: A systematic map,3,2019,57,Global,1,1,2,1,3,6182,1,2,6,1,0
The effectiveness of spawning habitat creation or enhancement for substrate-spawning temperate fish: A systematic review,1,2019,35,Global,1,1,1,0,1,4611,0,1,10,1,1
Impact of structural habitat modifications in coastal temperate systems on fish recruitment: A systematic review,7,2019,40,Global,1,1,6,1,3,17592,0,1,6,5,0.166666667
Absence of evidence for the conservation outcomes of systematic conservation planning around the globe: A systematic map,3,2018,32,Global,1,1,1,0,1,10058,0,1,9,3,1
How does roadside vegetation management affect the diversity of vascular plants and invertebrates? A systematic review,8,2018,53,Global,1,1,8,1,3,1381,8,5,5,3,0.2
How have carbon stocks in central and southern Africa's miombo woodlands changed over the last 50 years? A systematic map of the evidence,8,2018,63,Multi-national,1,2,1,0,1,11565,0,1,10,5,0.6
Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review,3,2018,3,Global,1,1,2,1,3,46174,10,2,18,1,0
"What are the environmental impacts of property rights regimes in forests, fisheries and rangelands?",8,2017,83,Global,1,1,3,1,3,34984,3,3,6,3,0.333333333
"The environmental, socioeconomic, and health impacts of woodfuel value chains in Sub-Saharan Africa: A systematic map",2,2017,3,Multi-national,1,2,1,1,2,3979,6,2,12,6,0.5
China's conversion of cropland to forest program: A systematic review of the environmental and socioeconomic effects,6,2016,4,National,2,3,1,0,1,879,0,1,6,3,0
What are the effects of nature conservation on human well-being? A systematic map of empirical evidence from developing countries,4,2016,43,Global,1,1,1,0,1,35006,0,1,17,4,1
Does the gender composition of forest and fishery management groups affect resource governance and conservation outcomes? A systematic map,4,2016,30,Global,1,1,1,0,1,11069,0,1,12,3,0.833333333
How effective are on-farm mitigation measures for delivering an improved water environment? A systematic map,2,2015,44,Global,1,1,1,1,2,74086,NA,NA,4,1,1
The fitness consequences of inbreeding in natural populations and their implications for species conservation - A systematic map Children's Environmental Health,2,2015,4,Global,1,1,1,0,1,11457,0,1,6,1,1
"Assessing community-based conservation projects: A systematic review and multilevel analysis of attitudinal, behavioral, ecological, and economic outcomes",1,2013,5,Global,1,1,1,0,1,4290,0,1,3,2,1
"The effectiveness of integrated farm management, organic farming and agri-environment schemes for conserving biodiversity in temperate Europe - A systematic map",2,2012,12,Multi-national,1,2,1,0,1,8123,0,1,2,1,1